Statistic,,,Zillow Home Value Index,,,,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Folwell,neighborhood,All Homes,"$179,300",0.50%,1.30%,6.50%,12.40%,6.50%,---,---,---,---,$151,0.70%,1.30%,6.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5.8,---,---,---,"$1,429",0.30%,1.10%,5.20%
Fuller Tangletown,neighborhood,All Homes,"$481,800",0.10%,0.30%,0.50%,3.90%,2.90%,---,---,---,---,"$2,061",0.00%,0.30%,0.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Fulton,neighborhood,All Homes,"$515,500",0.10%,0.20%,1.70%,3.70%,3.50%,---,---,---,---,$684,0.00%,0.10%,1.60%,---,---,---,---,"$530,000",2.90%,17.30%,1.00%,---,---,---,---,$404,10.90%,12.00%,14.10%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,146",--2.9%,--4.7%,--4.5%
Hale,neighborhood,All Homes,"$401,000",0.70%,1.90%,6.10%,4.90%,3.60%,---,---,---,---,$374,0.50%,1.90%,5.90%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,994",--0.7%,--1.9%,0.80%
Harrison,neighborhood,All Homes,"$208,700",--1.0%,--1.3%,1.10%,9.30%,5.70%,---,---,---,---,$171,--1.2%,--1.2%,1.20%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Hawthorne,neighborhood,All Homes,"$191,600",0.10%,0.50%,6.80%,11.10%,5.00%,---,---,---,---,$136,0.00%,0.70%,7.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Hiawatha,neighborhood,All Homes,"$289,000",0.50%,1.20%,5.00%,6.30%,3.70%,---,---,---,---,$244,0.40%,1.20%,4.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,770",1.40%,2.10%,4.80%
Holland,neighborhood,All Homes,"$258,500",0.50%,1.60%,6.70%,9.50%,5.20%,---,---,---,---,$217,0.50%,1.40%,6.40%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Howe,neighborhood,All Homes,"$284,600",0.30%,0.80%,2.50%,6.60%,3.80%,---,---,---,---,$245,0.00%,0.80%,2.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$1,763",1.50%,2.00%,4.60%
Jordan,neighborhood,All Homes,"$187,600",0.60%,1.60%,5.90%,12.00%,6.70%,---,---,---,---,$136,0.70%,1.50%,6.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,458",0.10%,0.60%,3.30%
